ts,Close,Low,High,Open,Volume
2021-01-04 11:33:00,12.0,12.0,12.0,12.0,19
2021-01-04 11:34:00,12.0,12.0,12.0,12.0,9
2021-01-04 11:35:00,11.95,11.95,12.0,12.0,910
2021-01-04 11:36:00,11.9,11.9,12.0,11.95,205
2021-01-04 11:37:00,11.9,11.9,11.95,11.9,45
2021-01-04 11:38:00,11.9,11.9,11.95,11.9,211
2021-01-04 11:39:00,11.9,11.85,11.9,11.9,92
2021-01-04 11:40:00,11.9,11.9,11.95,11.9,36
2021-01-04 11:41:00,11.9,11.9,11.9,11.9,8
2021-01-04 11:42:00,11.9,11.9,11.9,11.9,75
2021-01-04 11:43:00,11.9,11.9,11.9,11.9,27
2021-01-04 11:44:00,11.9,11.9,11.9,11.9,42
2021-01-04 11:45:00,11.85,11.85,11.9,11.9,13
2021-01-04 11:46:00,11.85,11.85,11.9,11.9,48
2021-01-04 11:47:00,11.9,11.85,11.9,11.85,42
2021-01-04 11:48:00,11.85,11.85,11.9,11.9,163
2021-01-04 11:49:00,11.85,11.85,11.9,11.9,76
2021-01-04 11:50:00,11.9,11.85,11.9,11.85,29
2021-01-04 11:51:00,11.9,11.85,11.9,11.9,35
2021-01-04 11:52:00,11.85,11.85,11.85,11.85,2
2021-01-04 11:53:00,11.85,11.85,11.85,11.85,16
2021-01-04 11:54:00,11.85,11.85,11.9,11.9,13
2021-01-04 11:55:00,11.85,11.85,11.85,11.85,55
2021-01-04 11:56:00,11.85,11.85,11.9,11.85,20
2021-01-04 11:57:00,11.9,11.85,11.9,11.85,31
2021-01-04 11:58:00,11.9,11.9,11.9,11.9,20
2021-01-04 11:59:00,11.9,11.85,11.9,11.9,8
2021-01-04 12:00:00,11.9,11.9,11.9,11.9,15
2021-01-04 12:01:00,11.85,11.85,11.85,11.85,31
2021-01-04 12:02:00,11.85,11.85,11.9,11.85,15
2021-01-04 12:03:00,11.85,11.85,11.85,11.85,9
2021-01-04 12:04:00,11.9,11.85,11.9,11.85,12
2021-01-04 12:05:00,11.9,11.85,11.9,11.85,23
2021-01-04 12:06:00,11.85,11.85,11.9,11.85,12
2021-01-04 12:07:00,11.85,11.85,11.85,11.85,11
2021-01-04 12:08:00,11.85,11.85,11.9,11.85,14
2021-01-04 12:09:00,11.9,11.85,11.9,11.85,23
2021-01-04 12:10:00,11.85,11.85,11.85,11.85,2
2021-01-04 12:11:00,11.9,11.85,11.9,11.85,11
2021-01-04 12:12:00,11.85,11.85,11.9,11.9,9
2021-01-04 12:13:00,11.9,11.85,11.9,11.9,7
2021-01-04 12:14:00,11.9,11.85,11.9,11.85,44
2021-01-04 12:15:00,11.9,11.85,11.9,11.9,24
2021-01-04 12:16:00,11.85,11.85,11.9,11.85,38
2021-01-04 12:17:00,11.85,11.85,11.85,11.85,26
2021-01-04 12:18:00,11.85,11.85,11.9,11.9,45
2021-01-04 12:19:00,11.85,11.85,11.9,11.9,15
2021-01-04 12:20:00,11.9,11.85,11.9,11.85,57
2021-01-04 12:21:00,11.9,11.85,11.9,11.9,33
2021-01-04 12:22:00,11.9,11.9,11.9,11.9,18
2021-01-04 12:23:00,11.9,11.85,11.9,11.9,56
2021-01-04 12:24:00,11.9,11.85,11.9,11.9,39
2021-01-04 12:25:00,11.85,11.85,11.85,11.85,52
2021-01-04 12:26:00,11.85,11.85,11.9,11.85,6
2021-01-04 12:27:00,11.85,11.85,11.85,11.85,12
2021-01-04 12:28:00,11.9,11.85,11.9,11.85,64
2021-01-04 12:29:00,11.9,11.9,11.9,11.9,14
2021-01-04 12:30:00,11.9,11.85,11.9,11.9,23
2021-01-04 12:31:00,11.85,11.85,11.9,11.85,3
2021-01-04 12:32:00,11.85,11.85,11.9,11.85,25
2021-01-04 12:33:00,11.9,11.85,11.9,11.9,8
2021-01-04 12:34:00,11.9,11.85,11.9,11.9,19
2021-01-04 12:35:00,11.85,11.85,11.85,11.85,8
2021-01-04 12:36:00,11.9,11.85,11.9,11.9,3
2021-01-04 12:37:00,11.85,11.85,11.9,11.9,11
2021-01-04 12:38:00,11.9,11.9,11.9,11.9,16
2021-01-04 12:39:00,11.85,11.85,11.9,11.9,18
2021-01-04 12:40:00,11.85,11.85,11.85,11.85,6
2021-01-04 12:41:00,11.85,11.85,11.9,11.9,15
2021-01-04 12:42:00,11.9,11.85,11.9,11.85,6
2021-01-04 12:43:00,11.9,11.85,11.9,11.9,12
2021-01-04 12:44:00,11.85,11.85,11.9,11.85,80
2021-01-04 12:45:00,11.9,11.85,11.9,11.85,64
2021-01-04 12:46:00,11.9,11.9,11.9,11.9,11
2021-01-04 12:47:00,11.9,11.85,11.9,11.85,8
